county,address,name,dem,rep,grn,lib,unaf,oth,total,date,dem_perc,rep_perc,grn_perc,lib_perc,unaf_perc,oth_perc
HOWARD,902,434,77,104,1,5,255,15,457,2018-06-30,16.849015317286653,22.75711159737418,0.2188183807439825,1.0940919037199124,55.798687089715536,3.282275711159737
KENT,57,15,5,5,0,0,16,1,27,2018-06-30,18.51851851851852,18.51851851851852,0,0,59.25925925925925,3.7037037037037033
MONTGOMERY,4341,2620,161,329,20,23,954,62,1549,2018-06-30,10.39380245319561,21.239509360877985,1.2911555842479019,1.4848289218850872,61.58812136862492,4.002582311168496
PR. GEORGE'S,2518,1189,108,68,9,8,215,29,437,2018-06-30,24.71395881006865,15.560640732265446,2.059496567505721,1.8306636155606408,49.19908466819222,6.636155606407322
QUEEN ANNE'S,65,45,11,3,1,2,24,1,42,2018-06-30,26.190476190476193,7.142857142857142,2.380952380952381,4.761904761904762,57.14285714285714,2.380952380952381
ST. MARY'S,331,99,22,10,1,2,43,5,83,2018-06-30,26.506024096385545,12.048192771084338,1.2048192771084338,2.4096385542168677,51.80722891566265,6.024096385542169
SOMERSET,32,12,9,1,0,0,3,0,13,2018-06-30,69.23076923076923,7.6923076923076925,0,0,23.076923076923077,0
TALBOT,316,51,22,18,1,4,45,1,91,2018-06-30,24.175824175824175,19.78021978021978,1.098901098901099,4.395604395604396,49.45054945054945,1.098901098901099
WASHINGTON,785,124,27,18,3,2,64,3,117,2018-06-30,23.076923076923077,15.384615384615385,2.564102564102564,1.7094017094017095,54.700854700854705,2.564102564102564
WICOMICO,229,91,27,9,3,1,29,3,72,2018-06-30,37.5,12.5,4.166666666666666,1.3888888888888888,40.27777777777778,4.166666666666666
WORCESTER,144,69,48,4,1,2,41,1,97,2018-06-30,49.48453608247423,4.123711340206185,1.0309278350515463,2.0618556701030926,42.2680412371134,1.0309278350515463
Total,19770,9432,1446,1229,125,148,3178,195,6321,2018-06-30,22.876127195064072,19.443126087644362,1.9775352001265623,2.3414016769498494,50.27685492801772,3.0849549121974373
ALLEGANY,348,71,77,15,1,3,66,4,166,2018-07-31,46.3855421686747,9.036144578313253,0.6024096385542169,1.8072289156626504,39.75903614457831,2.4096385542168677
ANNE ARUNDEL,4728,1143,323,254,15,29,587,34,1242,2018-07-31,26.006441223832528,20.45088566827697,1.2077294685990339,2.3349436392914655,47.26247987117552,2.737520128824477
BALTIMORE CITY,3628,1328,200,167,41,32,668,34,1142,2018-07-31,17.513134851138354,14.623467600700527,3.5901926444833623,2.8021015761821366,58.49387040280211,2.9772329246935203
BALTIMORE CO.,7682,2604,612,355,31,46,847,43,1934,2018-07-31,31.64426059979317,18.355739400206826,1.6028955532574976,2.378490175801448,43.795243019648396,2.2233712512926576
CALVERT,717,223,98,57,4,14,204,4,381,2018-07-31,25.72178477690289,14.960629921259844,1.0498687664041995,3.674540682414698,53.54330708661418,1.0498687664041995
CAROLINE,155,64,39,19,0,1,70,1,130,2018-07-31,30,14.615384615384617,0,0.7692307692307693,53.84615384615385,0.7692307692307693
