year,month,date,party,number,source
2011,January,1/31/2011,unaf,535157,https://elections.maryland.gov/pdf/vrar/2011_01.pdf
2011,January,1/31/2011,oth,38640,https://elections.maryland.gov/pdf/vrar/2011_01.pdf
2011,January,1/31/2011,total,3482436,https://elections.maryland.gov/pdf/vrar/2011_01.pdf
2012,January,1/31/2012,dem,1951840,https://elections.maryland.gov/pdf/vrar/2012_01.pdf
2012,January,1/31/2012,rep,924841,https://elections.maryland.gov/pdf/vrar/2012_01.pdf
2012,January,1/31/2012,grn,8491,https://elections.maryland.gov/pdf/vrar/2012_01.pdf
2012,January,1/31/2012,lib,9795,https://elections.maryland.gov/pdf/vrar/2012_01.pdf
2012,January,1/31/2012,unaf,553637,https://elections.maryland.gov/pdf/vrar/2012_01.pdf
2012,January,1/31/2012,oth,38233,https://elections.maryland.gov/pdf/vrar/2012_01.pdf
2012,January,1/31/2012,total,3486837,https://elections.maryland.gov/pdf/vrar/2012_01.pdf
2013,January,1/31/2013,dem,2096173,https://elections.maryland.gov/pdf/vrar/2013_01.pdf
2013,January,1/31/2013,rep,968021,https://elections.maryland.gov/pdf/vrar/2013_01.pdf
2013,January,1/31/2013,ame,237,https://elections.maryland.gov/pdf/vrar/2013_01.pdf
2013,January,1/31/2013,grn,8714,https://elections.maryland.gov/pdf/vrar/2013_01.pdf
2013,January,1/31/2013,lib,11660,https://elections.maryland.gov/pdf/vrar/2013_01.pdf
2013,January,1/31/2013,unaf,631963,https://elections.maryland.gov/pdf/vrar/2013_01.pdf
2013,January,1/31/2013,oth,40382,https://elections.maryland.gov/pdf/vrar/2013_01.pdf
2013,January,1/31/2013,total,3757150,https://elections.maryland.gov/pdf/vrar/2013_01.pdf
2014,January,1/31/2014,dem,2052413,https://elections.maryland.gov/pdf/vrar/2014_01.pdf
2014,January,1/31/2014,rep,948677,https://elections.maryland.gov/pdf/vrar/2014_01.pdf
2014,January,1/31/2014,ame,295,https://elections.maryland.gov/pdf/vrar/2014_01.pdf
2014,January,1/31/2014,grn,8431,https://elections.maryland.gov/pdf/vrar/2014_01.pdf
2014,January,1/31/2014,lib,13313,https://elections.maryland.gov/pdf/vrar/2014_01.pdf
2014,January,1/31/2014,unaf,648981,https://elections.maryland.gov/pdf/vrar/2014_01.pdf
2014,January,1/31/2014,oth,36233,https://elections.maryland.gov/pdf/vrar/2014_01.pdf
2014,January,1/31/2014,total,3708343,https://elections.maryland.gov/pdf/vrar/2014_01.pdf
2015,January,1/31/2015,dem,2030878,https://elections.maryland.gov/pdf/vrar/2015_01.pdf
2015,January,1/31/2015,rep,954555,https://elections.maryland.gov/pdf/vrar/2015_01.pdf
2015,January,1/31/2015,grn,8616,https://elections.maryland.gov/pdf/vrar/2015_01.pdf
2015,January,1/31/2015,lib,15310,https://elections.maryland.gov/pdf/vrar/2015_01.pdf
2015,January,1/31/2015,unaf,668644,https://elections.maryland.gov/pdf/vrar/2015_01.pdf
2015,January,1/31/2015,oth,33739,https://elections.maryland.gov/pdf/vrar/2015_01.pdf
2015,January,1/31/2015,total,3711742,https://elections.maryland.gov/pdf/vrar/2015_01.pdf
2016,January,1/31/2016,dem,2042296,https://elections.maryland.gov/pdf/vrar/2016_01.pdf
2016,January,1/31/2016,rep,974602,https://elections.maryland.gov/pdf/vrar/2016_01.pdf
2016,January,1/31/2016,grn,8324,https://elections.maryland.gov/pdf/vrar/2016_01.pdf
2016,January,1/31/2016,lib,16866,https://elections.maryland.gov/pdf/vrar/2016_01.pdf
2016,January,1/31/2016,unaf,694913,https://elections.maryland.gov/pdf/vrar/2016_01.pdf
2016,January,1/31/2016,oth,31668,https://elections.maryland.gov/pdf/vrar/2016_01.pdf
2016,January,1/31/2016,total,3768669,https://elections.maryland.gov/pdf/vrar/2016_01.pdf
2017,January,1/31/2017,dem,2184281,https://elections.maryland.gov/pdf/vrar/2017_01.pdf
2017,January,1/31/2017,rep,1034253,https://elections.maryland.gov/pdf/vrar/2017_01.pdf
2017,January,1/31/2017,grn,9343,https://elections.maryland.gov/pdf/vrar/2017_01.pdf
2017,January,1/31/2017,lib,20171,https://elections.maryland.gov/pdf/vrar/2017_01.pdf
2017,January,1/31/2017,unaf,696879,https://elections.maryland.gov/pdf/vrar/2017_01.pdf
2017,January,1/31/2017,oth,32710,https://elections.maryland.gov/pdf/vrar/2017_01.pdf
2017,January,1/31/2017,total,3977637,https://elections.maryland.gov/pdf/vrar/2017_01.pdf
2018,January,1/31/2018,dem,2133813,https://elections.maryland.gov/pdf/vrar/2018_01.pdf
2018,January,1/31/2018,rep,1006151,https://elections.maryland.gov/pdf/vrar/2018_01.pdf
